merchantId,agency
362653,Bluefocus
363463,Direct
385281,Direct
380945,Thraive
380813,Thraive
363072,白武士
362825,LinkButton
362559,Direct
362517,Direct
389039,Bluefocus
362178,Direct
381593,Direct
387793,Direct
387792,Direct
363155,Direct
384771,Direct
384776,Direct
389040,Bluefocus
384775,Direct
389038,Bluefocus
384762,Direct
384761,Direct
384763,Direct
384773,Direct
362343,openlight
381636,Direct
385141,Direct
385143,Direct
384768,Direct
385139,Direct
384774,Direct
384770,Direct
384766,Direct
384769,Direct
385146,Direct
385137,Direct
384772,Direct
385142,Direct
385144,Direct
398751,LinkMax
398745,BlueFocus
398681,BlueFocus
398946,OpenLight
399032,LinkMax
363152,Direct
385463,Direct
398843,Linkbutton
384493,
383493,
383491,Thraive
399096,Thraive
388534,Thraive
389055,Thraive
364159,Thraive
