merchantId,merchantName,BD
362653,Shokz Official,Bryan
363463,Ulike,Timmy
385281,Anua,Timmy
380945,Merach,Bryan
380813,MERACHFITNESS,Bryan
363072,SIHOO,Timmy
362825,Tagry,Bryan
362559,iGarden,Timmy
362517,Ikarao,Timmy
389039,DJI UK,Bryan
362178,Hcalory,Timmy
381593,GeerDuo Pet,Timmy
387793,RENPHO Group,Timmy
387792,RENPHO WELLNESS,Timmy
363155,Hoffree,Timmy
384771,BlitzRock,Timmy
384776,HOMMPA,Timmy
389040,DJI FR,Bryan
384775,BLITZHOME,Timmy
389038,DJI DE,Bryan
384762,GOCHIFIX,Timmy
384761,HCALORY,Timmy
384763,NEEDONE,Timmy
384773,WARMOUNTS,Timmy
362343,Lefant,Timmy
381636,Mydays Outdoor,Timmy
385141,Bedoira,Timmy
385143,BeesjuyUS,Timmy
384768,BlackSmith,Timmy
385139,Comomy,Timmy
384774,Cubiertool,Timmy
384770,Douxlife,Timmy
384766,ELEVERDE,Timmy
384769,ENJOYWOOD,Timmy
385146,Fadiediy,Timmy
385137,Hongnacom,Timmy
384772,LUSIMO,Timmy
385142,Wempumse,Timmy
385144,Yanmjunm,Timmy
398751,ECOFLOW,Bryan
398745,Hisense,Bryan
398681,Gyroor,Bryan
398946,Wenoker,Timmy
399032,WYBOT,Bryan
363152,Valerion,Timmy
385463,ANTHBOT FR,Bryan
398843,Bassbloom,Bryan
384493,YOLEO,Timmy
383493,OUNUO,Timmy
383491,Ottocast,Bryan
399096,Chebio,Bryan
388534,Rockbros,Bryan
389055,Heyzoo,Bryan
364159,Bluewood,Bryan
402733,Level8,Bryan
